image_url,story_url
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Symantec_Headquarters_Mountain_View.jpg/640px-Symantec_Headquarters_Mountain_View.jpg,https://www.wikiwand.com/en/articles/Gen_Digital
x-raw-image:///c0151362e508d64c9be77f7500fc9b4e58677d79f2642a828d488d7e0a19c59b,https://seethemoney.az.gov/PublicReports/2022/83F06304-20E0-42BF-82B1-7F04699990EE.pdf
x-raw-image:///4991e1581d68949e1268e5c57a100c0f1071d4ffcacc1b7e4f2b91a4db305a5a,https://www2.co.fresno.ca.us/9200/Attachments/Agendas/2023/20231004/20231004-5B-AnnualEquityInvestmentManagerProxyVotingReportJune2023-Compiled.pdf
x-raw-image:///0c9ae2b14b78a4a2ebe546454d2bdabc2c11f63b6f14f11feebf4756ee692290,https://www2.deloitte.com/content/dam/Deloitte/us/Documents/technology-media-telecommunications/us-tmt-22-deloitte-technology-fast-500-recognizing-growth-brochure.pdf
