Year,Date,Ticker,Company,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Return,Year_Cum_Ret_Daily,Tenure_Cum_Ret_Daily,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall
2010,2010-01-04,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,,,,1.507219158273147,1.507219158273147
2010,2010-01-05,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,0.0017288160615971,1.0017288160615971,1.0017288160615971,1.507219158273147,1.507219158273147
2010,2010-01-06,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,-0.0159062619482482,0.9857950551122128,0.9857950551122128,1.507219158273147,1.507219158273147
2010,2010-01-07,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,-0.0018483613649363,0.983972949618598,0.983972949618598,1.507219158273147,1.507219158273147
2010,2010-01-08,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,0.0066477620650771,0.9905141676661346,0.9905141676661346,1.507219158273147,1.507219158273147
2010,2010-01-11,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,-0.0088211194392323,0.9817767238868998,0.9817767238868998,1.507219158273147,1.507219158273147
2010,2010-01-12,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,-0.0113752988920322,0.9706087202074462,0.9706087202074462,1.507219158273147,1.507219158273147
2010,2010-01-13,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,0.0141055445473257,0.984299684748355,0.984299684748355,1.507219158273147,1.507219158273147
2010,2010-01-14,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,-0.0057914298452291,0.9785991821774538,0.9785991821774538,1.507219158273147,1.507219158273147
2010,2010-01-15,AAPL,Apple Inc.,Steve Jobs,44,Man,white,happy,0.004013524085166864,99.99598264694214,0.0013309185189637684,0.007675791587681194,5.4449489942637025e-05,96.70776705192131,2.478743678554516,0.8044298286396163,0.0024709917852305807,1.646482701289642e-05,0.000787541921454249,98.54950904846191,0.00019085414351138752,0.0011897494005097542,1.4458387158811092,-0.0167119532528036,0.9622448783916724,0.9622448783916724,1.507219158273147,1.507219158273147
