Year,Ticker,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall
2010,SNPS,Aart de Geus,23,Man,white,neutral,0.8199806325137615,99.18001294136047,15.249158188550147,0.24725454624078505,0.04502985616748443,78.55006072820319,3.077546312370237,2.8309551473179724,13.304837048053741,0.005173615863895975,0.052044534822925925,25.73416531085968,2.205486223101616,0.014075865328777581,58.68421792984009,1.1991978256226097,6.198752352630331
2011,SNPS,Aart de Geus,39,Man,white,happy,0.023242851602844894,99.97676014900208,15.494667917172189,3.496496587782895,0.94738431333806,47.36156447896746,18.215201390695654,14.484688012879372,2.3155153695363246,0.041069319361702425,0.11258720365461154,89.42975871917709,7.633737639634328,0.0002701520637941679,0.46707038747613283,1.01077669703351,6.198752352630331
2012,SNPS,Aart de Geus,39,Man,white,happy,0.02092889917548746,99.97907280921936,20.841102302074432,6.175221875309944,1.782972738146782,35.640355944633484,13.979142904281616,21.58120423555374,6.3610304213184365,0.0004951148025137115,0.26512368765465544,93.24250180974613,0.12770616046450498,7.527171868151287e-05,0.0030634922957406443,1.1705882080698509,6.198752352630331
2013,SNPS,Aart de Geus,40,Man,white,happy,0.0050184386054752395,99.99498128890991,19.94805634021759,6.377533823251724,2.7362601831555367,32.049915194511414,18.207690119743347,20.680545270442963,0.29029708821326494,0.015240069478750229,32.14409053325653,45.136627554893494,2.3291880264878273,0.019042749772779644,20.065513253211975,1.2741834013944455,6.198752352630331
2014,SNPS,Aart de Geus,34,Man,asian,angry,0.25003310292959213,99.74996447563171,68.51315906722301,8.885802858221702,4.569643635728576,4.797215673161487,1.4463314717311544,11.787851112356849,54.59341461579974,1.4385067709990467,13.691853128892557,0.007033484254764378,30.234644440966182,0.01645372445329719,0.01810356841167133,1.0714814283385086,6.198752352630331
2015,SNPS,Aart de Geus,55,Man,white,sad,0.03882996097672731,99.96116757392883,8.372475951910019,0.9798998013138771,0.16290199710056186,74.59264993667603,9.05502438545227,6.837046891450882,1.0230367681704025,1.1759015440601467e-05,0.7584821419258202,0.0015035048805054393,95.16655773917185,7.495668106672479e-05,3.0503362372717997,1.0492293381539923,6.198752352630331
2017,SNPS,Aart de Geus,44,Man,white,neutral,0.0028844628104707226,99.99711513519287,0.7134920877064519,0.6751606643295684,0.08793721150418887,83.6432268406884,9.804589140688726,5.075591732596858,0.44635701924562454,3.33601263946548e-05,2.9855743050575256,40.6711220741272,0.11087639722973108,0.04429506079759449,55.74173927307129,1.4481820757707995,6.198752352630331
2018,SNPS,Aart de Geus,38,Man,white,happy,0.04991955938749015,99.95007514953613,9.704135691626586,1.6382262020437477,0.4511481078835597,63.85934187658526,11.578890046013589,12.768250671833673,4.595791921019554,6.894051283597946,6.016311049461365,46.58180475234985,5.965917557477951,0.1816913951188326,29.764428734779358,0.9882684182888156,6.198752352630331
2019,SNPS,Aart de Geus,31,Man,white,happy,11.985211819410324,88.0147933959961,0.34475088777398394,0.08970749866336576,0.00497346802689317,94.48332753678129,3.125618957019982,1.9516217754257783,0.3481359453871846,0.0022567599444300868,0.19655476789921522,94.92014050483704,0.39034353103488684,0.00010314000746802776,4.142462834715843,1.6512346822285544,6.198752352630331
2016,ANSS,Ajei Gopal,29,Man,asian,neutral,0.029036676278337836,99.97096657752991,63.82219195365906,2.6231108233332634,0.9290192276239395,7.237555831670761,1.0421602986752987,24.345962703227997,1.7866481095552444,9.686705659817108e-07,1.0096827521920204,2.946689505733957e-05,2.033018320798874,0.00012106155509172822,95.17050385475159,0.9998918687975086,2.776216084248304
2018,ANSS,Ajei Gopal,26,Man,latino hispanic,happy,0.047417081077583134,99.9525785446167,9.190459549427032,7.513649761676788,3.8472656160593033,24.06413108110428,11.885660141706467,43.49883794784546,3.205752996393585e-07,7.375529901447811e-12,5.740701780609925e-06,94.25110220909119,1.5497974459321995e-05,0.04041038337163627,5.708460137248039,0.96849384096576,2.776216084248304
2019,ANSS,Ajei Gopal,33,Man,latino hispanic,happy,0.09756078943610191,99.90243911743164,16.140134632587433,15.093468129634857,8.866889029741287,4.809587448835373,3.1200965866446495,51.96982026100159,1.2593571381405394e-08,3.984851067763964e-13,2.9080908305078455e-07,99.79691504221648,2.193511103602253e-06,0.0010702585951916875,0.20201493793069947,1.7965578802773263,2.776216084248304
2010,ZBRA,Anders Gustafsson,29,Man,white,fear,2.945481799542904,97.05451130867004,0.12223223021520556,0.04607181455809263,0.002237555369575083,94.71890894883329,2.275402048254135,2.8351478105871566,0.0030937413637288354,4.367717825737377e-06,98.44191065084402,0.7267211997044801,0.3609717340228995,0.009560197783264014,0.45773273268239095,1.3250785342647808,8.863271710294308
2011,ZBRA,Anders Gustafsson,29,Man,white,fear,2.945481799542904,97.05451130867004,0.12223223021520556,0.04607181455809263,0.002237555369575083,94.71890894883329,2.275402048254135,2.8351478105871566,0.0030937413637288354,4.367717825737377e-06,98.44191065084402,0.7267211997044801,0.3609717340228995,0.009560197783264014,0.45773273268239095,0.9418267227815724,8.863271710294308
2012,ZBRA,Anders Gustafsson,29,Man,white,fear,2.945481799542904,97.05451130867004,0.12223223021520556,0.04607181455809263,0.002237555369575083,94.71890894883329,2.275402048254135,2.8351478105871566,0.0030937413637288354,4.367717825737377e-06,98.44191065084402,0.7267211997044801,0.3609717340228995,0.009560197783264014,0.45773273268239095,1.098658544282476,8.863271710294308
