Year,Ticker,CEO,Age,dominant_gender,dominant_race,dominant_emotion,Woman,Man,asian,indian,black,white,middle eastern,latino hispanic,angry,disgust,fear,happy,sad,surprise,neutral,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall
2013,AVGO,Scott A. McGregor,38.0,Man,asian,fear,1.5752561390399933,98.42474460601807,65.99620580673218,0.063336017774418,0.019484742369968444,32.212406396865845,0.6622623186558485,1.0463104583323002,1.3598342667717616,1.6369349478522736e-07,85.01875579133561,0.3783049542242343,6.144138065679304,7.028916385302974,0.07004822002148986,1.707438411474317,8.351916951558193
2014,AVGO,Scott A. McGregor,,,,,,,,,,,,,,,,,,,,1.9321687389239148,8.351916951558193
2015,AVGO,Scott A. McGregor,39.0,Man,white,surprise,1.07076745480299,98.92922639846802,0.0022176680431584828,2.1706281927436066e-05,3.499177614330051e-07,99.96753931045532,0.01778195583028719,0.012444065941963345,0.011837944519699646,3.817350247142957e-06,0.23601001109063494,0.0006783262152479677,0.0012592145457822254,99.75016716120635,3.947273894594142e-05,1.460370286314307,8.351916951558193
2010,MRVL,Sehat Sutardja,43.0,Man,asian,happy,13.252551853656769,86.74744367599487,77.64987615944432,8.471622053191417,1.617544137830241,1.7437925346144993,0.1789660445343203,10.338191200710392,0.00932485781959258,5.9828780818449445e-09,0.00624905587756075,96.77399396896362,3.124602697789669,0.000291006472252775,0.08554367814213037,0.882073147436533,0.4526078643895214
2011,MRVL,Sehat Sutardja,35.0,Man,asian,angry,0.4528528545051813,99.54714775085449,98.18727374076843,1.080118678510189,0.0017810343706514686,0.20895926281809807,0.0011567229194042739,0.5207107868045568,88.97340893745422,0.017850335279945284,2.4813909083604813,0.0023661872546654195,7.850007712841034,0.015221416833810508,0.6597543135285378,0.7466308473952832,0.4526078643895214
2012,MRVL,Sehat Sutardja,56.0,Man,asian,fear,0.4267097916454077,99.57329630851746,65.22313356399536,11.48885041475296,2.232084237039089,0.42446115985512733,0.15017794212326407,20.48128992319107,5.441978573799133,1.1318811665717021e-06,93.87422204017639,0.01564694830449298,0.019742018776014447,0.003721572647918947,0.6446885876357555,0.5336461669314282,0.4526078643895214
2013,MRVL,Sehat Sutardja,56.0,Man,asian,neutral,0.20317102316766977,99.79682564735413,85.6419955153476,6.657034061662182,0.4755645322198791,0.15557748048767914,0.01576479177615913,7.054053055273758,5.91602735221386,4.589579916114417e-06,1.194678619503975,7.403366267681122,1.5564964152872562,0.41355579160153866,83.51587057113647,2.021315039849978,0.4526078643895214
2014,MRVL,Sehat Sutardja,47.0,Man,asian,happy,3.4406516700983047,96.55935168266296,81.52598518442932,5.304693317972817,1.111880636141376,2.650622780695293,0.3233096482079802,9.083507547796673,25.985506176948547,0.036989618092775345,3.7503745406866074,67.06708669662476,2.4153873324394226,0.0006121689693827648,0.7440397515892982,1.0247553404266847,0.4526078643895214
2015,MRVL,Sehat Sutardja,56.0,Man,asian,fear,0.4574778489768505,99.5425283908844,72.01370000839233,10.752540826797485,1.4873035252094269,0.21540846209973097,0.056058517657220364,15.474988520145416,42.15378369734093,1.685469387364577e-06,50.16040803914166,0.3343338312532105,0.15899100839239458,0.1027314347677153,7.089755784244034,0.621733077764586,0.4526078643895214
2010,ADBE,Shantanu Narayen,31.0,Man,latino hispanic,happy,0.01331282255705446,99.98668432235718,13.982405601883269,14.646882691793602,15.433592524146588,15.786867784671056,13.493564039085152,26.656688848536543,4.691751243996402e-14,3.2168885010153415e-28,3.6368413052949494e-18,99.994224309577,4.786485078883641e-11,6.87080598332622e-10,0.00577634744200505,0.829873296306739,8.852520759965024
2011,ADBE,Shantanu Narayen,41.0,Man,asian,neutral,0.00037849349610041827,99.99961853027344,25.446709990501404,14.050579071044922,9.931671619415283,13.779233396053314,13.173606991767883,23.618200421333313,42.37415447081056,2.8050294427138486e-06,0.07600597908197218,0.0321163815031279,5.199503090948051,0.00047074384460817656,52.31774761186526,0.9184535356436542,8.852520759965024
2012,ADBE,Shantanu Narayen,24.0,Man,middle eastern,happy,0.024298969947267324,99.97569918632507,2.7004290372133255,9.3804232776165,2.3228878155350685,32.741162180900574,38.36122155189514,14.493876695632935,3.6219476108102257e-13,6.638150678917848e-32,3.494944742030928e-21,99.99903440475464,8.325317431973067e-12,1.516976716226144e-13,0.0009626662176742684,1.3328616800509432,8.852520759965024
2013,ADBE,Shantanu Narayen,25.0,Man,middle eastern,happy,0.015282297681551427,99.98471736907959,0.2642612596160924,11.593113785571681,0.9470443805780637,9.878313385147655,71.17714114052899,6.1401244187429205,3.4139388231346154e-10,2.4348139056721474e-23,2.624027990478661e-16,99.94298219340934,3.417914766210452e-09,1.0811376310655814e-10,0.05701926178227435,1.5891719899983667,8.852520759965024
2014,ADBE,Shantanu Narayen,46.0,Man,middle eastern,neutral,0.05660439492203295,99.94339346885681,3.774924871334449,29.085689296044194,5.569623119279966,9.359015898821843,31.419467160765272,20.791273320761523,35.42371094226837,5.020328770755089e-10,0.008566399628762156,0.0002730196001721197,2.577749080955982,7.621648201450171e-07,61.98970675468445,1.2140947837583336,8.852520759965024
2015,ADBE,Shantanu Narayen,40.0,Man,middle eastern,angry,0.21446794271469116,99.78552460670471,12.108742445707321,17.212757468223572,8.428874611854553,18.522827327251434,26.680466532707214,17.046332359313965,81.31510615348816,0.0005290943590807728,1.0137389414012432,0.08558558765798807,9.034668654203415,0.008617407729616389,8.541753143072128,1.2921596476583843,8.852520759965024
2016,ADBE,Shantanu Narayen,42.0,Man,middle eastern,neutral,0.000325225732922263,99.99967813491821,3.513687057651632,19.164816240690204,2.6326120486721933,17.629654094022026,34.593667436400956,22.465560142331107,14.643796661126414,0.0008211639886356381,3.790385502003759,0.04286526783218341,6.394900762730883,1.7176835890223734,73.40954979715048,1.0959122234689724,8.852520759965024
2017,ADBE,Shantanu Narayen,33.0,Man,white,angry,0.01266954786842689,99.98732805252075,5.821798343765637,3.993138163872848,1.1357948860999874,54.33734383209609,17.44142278679745,17.270501987367986,99.31373596191406,2.9282420932474906e-07,0.38615348748862743,0.00011801434993685689,0.27829273603856564,0.0003500169668768649,0.0213485982385464,1.7021856307704943,8.852520759965024
